node_id,sampling_interval_ms,deadband_value,deadband_type,active
ns=6;s=StarGateway:Shaco.Jinx.CU.AB_ABdLb_lyZMCNHBOF,1000,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AB_DxaQA_iMvTHYtEdj,100,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AB_VftJF_RwyFECDhsM,100,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AB_XAlpn_xXrpBRZiWy,100,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AB_eyFji_ihJaXnpkld,1000,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AB_ztyNG_nYJlNhZadv,500,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AC_DdAOY_CpWlqZgGyk,500,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AC_FGtuJ_sfOkgpZBLN,500,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AC_IbSiZ_nPZMONaulX,500,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AC_bpZyn_EClAdGvBcm,500,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AC_cOxQe_gvXWNqkIaG,100,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AC_lGRXE_AKbFWBhzrj,500,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AC_ncKBU_zVvAJpNmnX,500,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AD_APkMm_rItmBPUJpL,1000,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AD_XyfHz_ZuvOXtyxah,500,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AD_oQhMH_MkGtfeXvCi,1000,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AD_yXLiQ_xGXIUEfoLD,1000,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AD_zXUtr_duqTAaYPbI,1000,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AE_CmfSx_cKReogajqS,500,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AE_FNkti_bZTDKygJtc,500,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AE_JyPsI_Xbpryxwsvm,1000,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AE_oGPiF_nTCRQxlXuw,100,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AF_VbCuI_nVAskiLMCr,1000,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AF_gJjlz_EGqmZtzQNd,1000,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AF_lGBfr_cPmeulZbyO,500,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AF_lyDIv_zFjhqfDElp,500,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AF_zSHbZ_HuAirZCpVc,100,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AF_zvFlh_WFOhnZAvdj,500,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AG_Lmqod_wfMnqIiryj,100,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AG_qMwfY_MigplnYUjZ,1000,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AG_tOFRC_SrElgDTOjd,500,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AH_BVjXD_PiCITQORry,100,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AH_ImDvU_yGlwLMndtm,1000,9,RELATIVE,1
